community,year,BATTERY,HOMICIDE,OFFENSE INVOLVING CHILDREN,NARCOTICS,PROSTITUTION,INTERFERENCE WITH PUBLIC OFFICER,MOTOR VEHICLE THEFT,BURGLARY,GAMBLING,HUMAN TRAFFICKING,DECEPTIVE PRACTICE,CRIM SEXUAL ASSAULT,ARSON,WEAPONS VIOLATION,NON-CRIMINAL,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,NON-CRIMINAL (SUBJECT SPECIFIED),ASSAULT,CRIMINAL TRESPASS,ROBBERY,KIDNAPPING,OTHER NARCOTIC VIOLATION,NON - CRIMINAL,STALKING,OBSCENITY,LIQUOR LAW VIOLATION,OTHER OFFENSE,SEX OFFENSE,CRIMINAL DAMAGE,THEFT,INTIMIDATION,CONCEALED CARRY LICENSE VIOLATION,name,price_nx_yr
1,2011,994,4,29,475,5,21,175,258,9,0,192,26,7,43,0,0,54,0,283,162,251,3,0,0,4,2,14,384,22,568,1135,3,0,rogers park,69.37272727
1,2012,991,6,26,485,30,33,142,212,6,0,159,17,5,73,0,0,48,0,340,183,202,4,0,0,3,1,21,361,24,500,1049,4,0,rogers park,94.91666667
1,2013,866,4,24,362,12,27,91,187,0,0,189,20,5,56,0,0,40,0,303,190,136,2,0,0,2,0,11,322,33,536,1013,2,0,rogers park,113.925
1,2014,794,8,32,285,28,20,117,181,0,0,235,29,1,40,1,0,22,0,263,141,117,2,0,0,2,0,8,252,12,385,828,1,0,rogers park,135.4
1,2015,675,6,24,219,10,15,113,166,2,0,233,28,4,29,0,0,28,0,238,123,106,0,0,0,3,0,6,242,19,446,855,1,0,rogers park,145.75
1,2016,760,5,34,91,15,12,112,183,0,0,260,31,2,34,0,1,16,0,234,133,159,1,0,0,4,2,5,234,24,403,915,1,0,rogers park,149.7333333
1,2017,703,4,25,68,3,15,122,182,0,0,270,33,1,36,0,0,15,0,268,179,168,2,1,0,1,1,2,221,28,586,1212,2,0,rogers park,160.7416667
1,2018,731,6,28,63,0,15,103,174,0,0,226,24,3,29,1,0,17,0,283,156,144,1,0,0,3,1,0,211,40,470,1072,1,0,rogers park,164.6
2,2011,686,0,28,278,2,16,236,433,0,0,193,23,9,33,0,0,33,0,204,93,140,3,0,0,1,2,11,305,22,626,1045,2,0,west ridge,68.59090909
2,2012,658,6,35,230,13,14,201,348,3,0,172,16,4,18,0,0,26,1,254,68,142,5,0,0,5,1,7,266,14,544,978,2,0,west ridge,84.81666667
2,2013,670,1,33,216,1,13,135,260,0,0,176,13,2,28,0,0,24,0,227,92,151,1,0,0,2,0,5,263,11,494,992,1,0,west ridge,108.525
2,2014,594,3,34,177,3,17,137,277,1,0,208,14,1,26,0,0,23,0,204,80,113,3,0,0,3,1,5,227,12,440,808,2,0,west ridge,123.74166670000001
2,2015,553,4,37,160,2,9,123,238,4,0,198,13,4,33,0,1,33,0,168,60,91,0,0,0,0,1,2,236,22,434,683,1,1,west ridge,124.64166670000002
2,2016,553,7,38,89,1,3,165,195,0,0,288,20,3,34,1,0,13,0,203,81,127,6,0,0,2,3,8,225,23,463,734,2,0,west ridge,128.96666670000002
2,2017,589,2,32,52,2,4,193,193,1,0,299,17,1,23,0,0,16,0,242,125,115,4,0,0,3,0,4,248,25,485,915,2,0,west ridge,146.33333330000002
2,2018,618,6,32,52,0,6,172,259,2,0,284,17,6,32,0,0,6,0,264,78,133,3,0,0,3,3,11,258,14,443,811,4,1,west ridge,150.83333330000002
3,2011,673,5,18,697,7,10,203,227,2,0,268,35,4,33,0,1,44,0,282,137,145,2,0,0,5,0,8,285,20,395,1268,3,0,uptown,153.6909091
3,2012,736,5,31,735,7,10,270,217,1,0,266,20,4,44,0,0,27,0,244,137,140,2,0,0,4,3,2,245,27,447,1350,3,0,uptown,168.08333330000002
3,2013,670,1,32,482,4,12,190,132,1,0,305,24,1,23,0,1,46,0,277,149,123,1,0,0,1,0,4,281,19,368,1142,1,0,uptown,180.56666669999998
3,2014,613,5,22,524,2,14,105,114,0,0,272,23,5,21,1,0,31,0,212,180,105,0,1,0,0,0,1,240,23,330,969,1,1,uptown,182.19166669999998
3,2015,674,13,35,286,2,10,155,119,2,0,331,30,2,21,0,0,31,0,236,143,115,2,0,0,0,0,3,223,17,325,886,2,0,uptown,199.1583333
3,2016,679,8,24,116,0,2,108,136,1,0,357,27,2,25,3,0,23,0,252,125,144,1,0,0,1,1,2,189,20,306,1015,0,0,uptown,203.95833330000002
3,2017,663,5,21,70,1,12,106,160,0,0,400,48,1,23,0,0,31,0,275,118,103,1,0,0,1,0,3,210,26,318,968,3,0,uptown,213.2333333
3,2018,714,2,26,66,0,14,123,175,1,0,389,41,3,27,0,0,19,0,257,136,106,1,0,0,1,2,0,212,24,302,986,3,0,uptown,202.5333333
4,2011,316,1,4,153,3,4,143,173,1,0,104,12,1,9,0,0,24,0,100,52,43,4,0,0,1,0,9,172,13,298,673,2,0,lincoln square,174.3909091
4,2012,354,0,11,111,1,5,143,214,1,0,97,8,1,11,0,0,15,0,124,49,54,2,0,0,1,0,9,131,11,282,703,1,0,lincoln square,197.925
4,2013,354,2,18,61,1,5,99,167,1,0,111,6,0,7,0,2,8,0,111,49,45,3,0,0,1,0,5,150,15,306,692,0,0,lincoln square,227.45
4,2014,327,0,16,104,1,9,67,123,2,0,145,10,1,9,1,1,14,0,87,39,30,4,0,0,2,0,7,125,19,243,512,0,0,lincoln square,227.5083333
4,2015,289,1,20,79,2,5,58,89,1,0,147,7,1,10,0,0,5,0,99,51,42,1,1,0,1,0,1,106,12,237,504,1,0,lincoln square,231.2833333
4,2016,296,1,12,42,0,4,79,117,1,0,254,18,1,17,1,0,8,0,96,57,52,4,0,0,2,1,2,136,7,249,531,1,1,lincoln square,238.825
4,2017,288,1,10,33,0,5,86,109,0,0,224,19,2,9,0,0,7,0,125,70,63,2,0,0,3,1,2,113,9,200,616,2,0,lincoln square,251.31666669999998
4,2018,324,2,9,36,0,3,77,129,0,0,206,17,2,9,1,0,6,0,113,55,39,0,0,0,2,0,4,118,15,205,554,5,0,lincoln square,251.83333330000002
5,2011,197,0,4,58,2,2,112,270,0,0,113,15,1,4,0,0,15,0,73,54,32,2,0,0,3,0,2,120,9,230,629,1,0,north center,231.2227273
5,2012,196,0,16,70,0,3,123,246,0,0,91,6,4,4,0,0,8,0,68,46,44,2,0,0,4,0,6,80,6,211,683,3,0,north center,248.5333333
5,2013,149,1,10,42,1,2,103,171,0,0,88,5,2,6,0,0,8,0,53,38,41,1,0,0,1,0,7,68,7,238,681,1,0,north center,253.3041667
5,2014,142,0,13,32,1,3,62,153,0,0,120,8,1,2,0,0,5,0,54,39,24,0,0,0,0,0,2,68,7,254,548,3,0,north center,265.5083333
5,2015,137,0,11,39,0,2,58,92,0,0,136,6,6,1,0,0,6,0,53,38,43,0,0,0,2,0,2,52,9,178,521,3,0,north center,285.9375
5,2016,121,0,3,29,0,1,58,109,0,0,210,6,0,5,0,0,4,0,59,38,48,1,0,0,1,1,2,64,2,164,474,3,0,north center,288.0125
5,2017,114,0,12,19,0,0,58,126,0,0,186,10,1,4,1,0,7,0,60,42,52,0,0,0,1,0,1,64,6,125,537,0,0,north center,275.9125
5,2018,133,1,5,13,1,3,41,103,0,0,138,4,0,3,2,1,3,0,62,44,35,2,0,0,2,0,3,69,10,124,520,1,0,north center,264.6666667
6,2011,950,2,8,289,31,11,341,537,0,0,514,24,3,18,0,1,83,0,234,198,317,1,2,0,2,0,22,278,25,714,2919,4,0,lake view,220.5272727
6,2012,979,3,12,301,12,7,353,705,2,0,443,26,5,24,1,2,49,0,245,208,346,2,1,0,9,1,15,253,32,745,2912,3,0,lake view,239.575
6,2013,906,0,13,213,3,14,302,387,1,0,565,22,1,10,1,0,61,0,201,210,356,2,1,0,1,1,14,221,19,616,2680,3,0,lake view,252.3583333
6,2014,715,0,15,168,6,5,150,360,0,0,512,34,13,13,3,2,61,0,189,193,234,1,1,0,1,1,33,202,20,568,2196,2,0,lake view,262.575
6,2015,771,1,15,128,1,16,191,299,0,1,529,45,10,13,1,1,45,0,209,198,195,1,0,0,3,1,19,185,21,515,2171,5,0,lake view,268.9
6,2016,817,1,17,71,2,16,204,409,0,0,762,42,3,20,3,0,45,0,199,186,270,2,2,0,2,2,20,220,20,593,2150,3,0,lake view,281.5833333
6,2017,759,0,14,39,2,3,207,319,0,0,766,52,2,11,3,0,30,0,210,170,237,0,0,0,5,0,10,219,24,401,2262,1,1,lake view,287.6666667
6,2018,795,1,12,39,0,7,210,325,0,0,747,56,2,12,1,0,28,0,257,220,192,1,0,0,4,3,10,228,29,425,2320,6,2,lake view,279.7333333
7,2011,417,2,9,99,3,4,274,430,0,0,328,14,4,2,0,2,32,0,129,119,150,4,0,0,5,0,21,161,17,559,2497,2,0,lincoln park,266.8909091
7,2012,396,0,8,102,1,3,259,563,1,0,284,21,1,4,0,1,16,0,135,139,138,2,2,0,5,1,11,132,6,540,2239,0,0,lincoln park,286.3583333
7,2013,390,0,6,71,2,5,211,297,1,0,327,13,0,7,0,0,16,0,108,110,129,2,0,0,2,0,21,124,21,493,2124,0,0,lincoln park,311.0
7,2014,377,1,6,62,1,2,137,202,0,0,314,17,1,7,0,1,14,0,119,112,98,3,1,0,1,0,20,142,22,446,1984,1,0,lincoln park,317.0416667
7,2015,340,0,12,50,0,2,110,213,0,0,338,22,2,6,0,1,14,0,78,86,116,2,0,0,1,0,22,113,22,459,1755,0,0,lincoln park,321.3583333
7,2016,351,0,9,29,0,1,144,256,0,0,519,29,8,6,0,0,11,0,105,113,134,1,0,0,3,0,8,128,9,424,1957,2,0,lincoln park,336.28333330000004
7,2017,375,1,4,30,0,1,176,210,0,1,498,28,1,6,1,0,13,0,135,84,148,6,0,0,3,2,5,100,15,390,2239,2,2,lincoln park,342.7416667
7,2018,362,1,7,23,1,3,160,280,0,0,482,20,1,13,0,1,21,0,190,130,166,1,0,0,4,1,12,124,33,462,2496,2,0,lincoln park,338.7
8,2011,1289,3,23,430,125,25,250,212,6,0,1324,32,3,31,0,2,72,0,365,524,350,1,0,0,10,0,38,396,30,639,5048,2,0,near north side,288.4
8,2012,1334,5,36,306,92,21,136,258,7,0,1254,40,2,28,3,1,75,0,315,453,267,6,1,0,10,0,36,353,21,701,5522,5,0,near north side,324.225
8,2013,1178,5,27,238,71,26,159,243,2,0,1171,43,1,27,1,1,85,0,323,577,197,2,0,0,5,1,32,331,29,466,4873,2,0,near north side,345.3666667
8,2014,1192,5,30,216,81,26,151,158,0,0,1110,43,4,30,2,1,51,0,324,416,176,0,2,0,7,0,35,326,25,494,4081,3,2,near north side,350.825
8,2015,1054,1,15,258,68,20,153,183,0,0,1210,54,7,28,2,1,56,0,335,354,204,8,0,1,4,1,25,276,23,512,4216,6,1,near north side,353.85
8,2016,1237,5,22,122,13,18,294,202,2,0,1583,91,4,38,2,0,47,0,377,252,294,3,0,0,6,1,29,316,32,658,4905,6,3,near north side,365.7666667
8,2017,1388,5,27,138,0,18,337,241,3,0,1793,101,6,27,1,3,56,0,461,358,414,4,1,0,14,4,17,317,37,636,5895,7,1,near north side,367.9916667
8,2018,1570,5,23,130,0,24,325,213,4,0,2025,104,4,42,1,1,56,0,552,354,383,7,0,0,14,4,31,392,47,609,6131,11,1,near north side,359.7
9,2011,75,0,1,5,0,0,7,33,0,0,30,1,2,0,0,0,1,0,17,13,0,1,0,0,0,0,3,27,0,71,82,0,0,edison park,186.5363636
9,2012,64,0,2,7,0,0,8,20,0,0,27,1,0,0,0,0,1,0,14,13,4,1,0,0,0,0,0,33,2,56,70,0,0,edison park,196.3583333
9,2013,56,0,3,5,0,0,6,14,0,0,24,0,0,0,0,0,1,0,11,13,1,0,0,0,1,0,0,32,4,54,74,0,0,edison park,228.2833333
9,2014,34,0,1,4,0,0,3,16,0,0,30,1,0,0,0,0,4,0,11,12,1,0,0,0,0,0,0,31,1,39,56,0,0,edison park,219.1416667
9,2015,49,0,6,5,0,0,9,15,0,0,41,1,0,1,0,0,4,0,18,6,1,0,0,0,0,0,0,24,0,33,45,0,0,edison park,211.5333333
9,2016,40,0,2,2,0,0,12,19,0,0,44,1,0,0,0,0,1,0,27,7,4,0,0,0,1,0,0,31,1,46,68,1,0,edison park,227.54166669999998
9,2017,45,0,2,2,1,0,9,4,0,0,34,3,3,1,0,0,1,0,20,12,3,1,0,0,0,0,0,30,3,36,65,0,0,edison park,230.1583333
9,2018,63,0,1,1,0,0,13,12,0,0,29,0,1,0,0,0,2,0,17,11,1,0,0,0,0,0,0,20,0,32,50,0,0,edison park,218.1333333
10,2011,203,0,11,32,0,1,43,137,0,0,89,4,2,1,0,0,12,0,79,35,19,2,0,0,0,0,3,132,9,260,375,0,0,norwood park,158.1454545
10,2012,224,1,16,41,3,3,40,97,0,0,83,4,4,3,0,0,6,0,94,40,17,3,0,0,1,0,1,118,9,229,426,2,0,norwood park,181.54166669999998
10,2013,205,0,18,53,0,3,37,75,0,0,67,7,0,7,0,0,14,0,66,28,4,2,0,0,1,0,2,115,9,162,355,1,0,norwood park,207.66666669999998
10,2014,192,1,12,58,10,1,30,90,0,0,111,6,1,1,1,0,7,0,73,42,13,3,0,0,3,1,4,96,6,176,315,0,0,norwood park,203.3916667
10,2015,175,0,14,48,4,2,25,94,0,0,123,7,1,4,0,0,7,0,83,49,9,1,0,0,1,1,4,103,11,188,323,1,0,norwood park,211.06666669999998
10,2016,187,1,12,24,0,2,43,96,0,0,161,3,0,0,0,0,5,0,77,41,15,5,0,0,2,0,2,105,4,195,341,1,0,norwood park,218.08333330000002
10,2017,172,1,9,17,2,1,32,70,0,1,147,10,1,4,1,0,3,0,80,34,14,5,0,0,1,1,0,92,9,138,260,0,0,norwood park,217.325
10,2018,179,0,6,17,0,0,48,76,0,0,115,3,4,3,1,0,8,0,105,52,10,4,0,0,1,0,0,85,8,135,311,0,0,norwood park,212.7
11,2011,184,2,19,52,0,6,65,132,0,0,91,3,1,3,0,0,6,0,59,30,17,0,0,0,4,0,1,135,3,207,279,1,0,jefferson park,131.7454545
11,2012,213,0,17,56,1,0,75,136,0,0,57,4,1,5,0,0,6,0,63,42,27,2,0,0,2,1,5,106,4,221,365,1,0,jefferson park,148.9
11,2013,193,1,24,95,1,2,57,113,0,0,61,2,2,7,0,0,5,0,64,56,27,0,0,0,2,0,1,120,2,154,346,1,0,jefferson park,161.5916667
11,2014,187,1,14,60,0,3,53,103,0,0,79,2,3,11,1,0,7,0,67,48,21,1,0,0,1,2,1,83,8,146,328,0,0,jefferson park,169.525
11,2015,173,1,21,64,0,7,42,82,1,0,100,3,1,5,0,0,8,0,56,38,24,4,0,3,2,0,2,83,8,135,294,0,0,jefferson park,181.45
11,2016,147,1,7,23,0,4,45,75,0,0,108,3,0,3,1,0,4,0,79,33,23,6,0,0,2,0,0,74,8,135,292,0,0,jefferson park,189.1583333
11,2017,156,1,9,23,1,5,49,58,0,0,129,8,1,4,0,0,5,0,70,25,18,1,0,0,1,1,0,95,4,130,265,1,0,jefferson park,198.3666667
11,2018,157,1,12,15,0,4,51,63,0,1,99,9,0,4,0,0,7,0,89,50,18,2,0,0,0,1,4,83,5,130,291,1,0,jefferson park,194.9666667
12,2011,71,0,6,20,0,0,18,105,0,0,34,2,0,0,0,0,3,0,23,10,6,0,0,0,0,0,0,51,2,118,136,0,0,forest glen,229.35
12,2012,51,0,2,15,0,2,24,100,0,0,46,1,2,0,0,0,2,0,26,12,3,1,0,0,1,0,0,47,1,85,180,0,0,forest glen,215.1625
12,2013,44,0,1,12,0,1,23,76,0,0,33,1,0,2,0,0,2,0,19,7,5,2,0,0,1,0,1,24,1,65,123,0,0,forest glen,245.825
12,2014,43,0,2,9,0,0,9,72,0,0,63,1,0,2,0,0,1,0,23,9,2,1,0,0,0,0,1,33,1,78,111,0,0,forest glen,247.0
12,2015,57,0,5,10,1,1,15,51,0,0,50,2,0,0,0,0,0,0,25,19,3,0,0,0,1,0,0,28,0,57,125,0,0,forest glen,235.72916669999998
12,2016,63,0,2,9,0,0,30,76,0,0,65,0,0,1,1,0,1,0,33,24,7,0,0,0,0,0,0,41,2,73,146,0,0,forest glen,245.8458333
12,2017,50,0,3,6,0,0,25,47,0,0,77,3,1,4,1,0,1,0,38,27,8,1,0,0,0,0,0,35,2,59,158,2,0,forest glen,244.0083333
12,2018,42,0,2,2,0,0,29,53,0,0,67,4,0,1,0,0,0,0,25,25,5,0,0,0,5,0,0,32,2,44,155,1,0,forest glen,224.0
13,2011,125,1,7,46,2,0,65,143,2,0,32,3,0,6,0,0,2,0,52,26,32,0,0,0,2,2,2,77,5,187,296,1,0,north park,136.3545455
13,2012,130,0,4,49,2,1,64,159,1,0,41,5,1,7,0,0,5,0,36,22,23,2,0,0,1,0,4,71,2,123,328,1,0,north park,136.05833330000002
13,2013,117,0,14,35,2,3,41,90,0,0,33,6,0,3,0,0,8,0,49,17,20,1,0,0,0,0,4,57,10,111,296,0,0,north park,151.3666667
13,2014,99,0,3,36,0,0,42,103,2,0,53,5,2,8,0,0,5,0,46,15,19,2,0,0,3,0,2,43,4,110,271,0,0,north park,165.325
13,2015,113,0,11,36,2,1,35,87,2,0,59,6,1,3,0,0,1,0,34,16,23,0,0,0,1,0,0,44,2,119,246,1,0,north park,177.2583333
13,2016,131,1,12,30,0,1,39,71,0,0,95,4,1,6,0,0,1,0,50,17,31,0,0,0,0,0,3,55,3,114,307,2,0,north park,181.8416667
13,2017,135,1,6,17,1,0,61,68,0,0,61,4,8,4,1,0,1,0,54,32,26,1,0,0,0,0,2,56,7,99,323,0,0,north park,186.9083333
13,2018,130,2,8,12,0,0,49,79,0,0,88,10,1,10,1,0,2,0,53,29,28,0,0,0,1,0,2,68,6,114,305,1,0,north park,177.1333333
14,2011,536,2,27,225,7,7,211,287,1,0,95,14,5,23,0,0,28,0,162,71,127,0,0,0,1,0,12,207,16,451,579,3,0,albany park,91.72727273
14,2012,556,5,20,191,8,7,221,245,0,0,78,10,9,32,0,0,25,0,147,45,114,2,0,0,2,0,12,184,11,402,617,2,0,albany park,114.03333329999998
14,2013,501,4,34,168,14,7,177,169,2,0,92,9,7,14,0,0,30,0,140,43,125,3,0,0,0,0,9,168,17,367,589,3,0,albany park,134.9916667
14,2014,436,2,22,153,25,9,116,141,1,0,118,12,2,21,0,0,35,0,145,47,94,3,0,0,1,0,11,147,14,340,506,2,0,albany park,159.85
14,2015,496,5,22,119,4,4,144,176,1,0,114,16,6,23,0,1,18,0,172,52,70,2,0,0,0,0,3,139,16,381,550,1,1,albany park,165.79166669999998
14,2016,454,3,26,45,0,4,144,125,0,0,152,19,3,17,1,0,8,0,145,36,166,2,0,0,3,1,0,133,17,347,564,3,0,albany park,175.66666669999998
14,2017,430,1,28,27,0,1,175,147,1,0,143,16,4,23,0,0,6,0,124,38,144,1,0,0,0,1,2,161,27,287,693,1,0,albany park,178.425
14,2018,481,4,15,32,0,2,136,149,0,0,150,11,1,31,1,0,10,0,152,47,132,2,0,0,0,0,4,151,15,330,558,3,0,albany park,185.3666667
15,2011,668,2,38,258,1,10,298,437,0,0,151,11,7,24,0,0,20,0,247,81,103,3,0,0,2,0,14,350,18,595,1049,4,0,portage park,110.3909091
15,2012,629,4,32,228,2,14,331,355,0,0,177,12,4,23,0,0,31,0,202,80,109,4,0,0,2,0,10,288,20,532,1071,0,0,portage park,123.73333329999998
15,2013,616,3,31,370,1,14,248,260,0,0,160,11,8,32,0,0,28,0,227,105,84,5,0,0,4,0,14,301,14,459,976,4,0,portage park,141.65
15,2014,570,2,40,221,2,10,159,242,0,0,222,14,4,21,0,0,21,0,186,73,63,10,0,1,2,2,4,241,16,445,816,3,0,portage park,153.54166669999998
15,2015,572,3,25,209,2,7,155,251,0,0,229,23,3,24,0,0,14,0,196,79,87,4,0,0,5,4,4,259,12,475,810,1,0,portage park,161.4916667
15,2016,546,1,36,82,0,5,185,228,0,0,266,18,5,19,0,0,7,0,214,69,85,4,0,0,0,2,3,271,16,434,750,2,0,portage park,178.56666669999998
15,2017,559,1,37,78,0,5,237,234,0,0,283,18,4,17,0,1,10,0,241,76,72,4,0,0,1,2,2,258,18,416,790,5,1,portage park,182.7166667
15,2018,560,1,25,45,1,5,144,202,0,0,253,17,13,36,1,0,16,0,253,76,81,3,0,0,3,2,8,227,14,397,811,5,0,portage park,172.56666669999998
16,2011,706,3,25,284,2,8,402,455,1,0,136,17,10,23,0,0,55,0,206,73,146,3,0,0,4,0,13,261,22,601,854,0,0,irving park,113.3090909
16,2012,647,2,20,205,2,6,425,417,0,0,127,19,3,23,0,1,64,0,178,72,97,1,0,0,4,0,11,211,25,516,860,3,0,irving park,137.1333333
16,2013,548,2,26,172,1,9,322,289,0,0,125,11,4,12,0,0,41,0,168,44,132,2,0,0,3,0,8,204,8,477,882,2,0,irving park,162.0166667
16,2014,515,1,30,127,2,6,190,174,1,0,156,15,6,10,0,0,18,0,137,50,83,3,0,0,2,0,9,168,20,411,718,1,0,irving park,177.6083333
16,2015,556,7,31,118,1,7,198,195,0,0,165,24,11,13,0,0,20,0,167,42,83,2,1,0,1,1,5,185,15,408,763,0,0,irving park,190.175
16,2016,536,5,29,63,1,7,201,212,1,0,238,16,6,19,1,0,11,0,186,54,108,3,0,0,0,0,1,207,16,413,655,2,0,irving park,201.43333330000002
16,2017,467,2,24,29,0,2,194,209,2,0,245,13,11,14,0,0,11,0,164,57,112,2,0,0,2,1,2,213,25,395,808,4,0,irving park,208.75
16,2018,506,0,23,40,1,2,141,209,1,0,195,16,0,27,0,0,9,0,165,43,95,4,0,0,0,3,1,171,12,375,779,0,1,irving park,196.6
17,2011,309,0,16,82,0,4,112,256,1,0,95,7,2,3,0,0,7,0,147,46,33,3,0,0,0,0,5,204,8,345,474,1,0,dunning,119.4818182
17,2012,275,1,15,74,0,8,141,205,0,0,95,5,2,5,0,0,5,0,105,41,36,4,0,0,2,0,0,156,16,288,451,0,0,dunning,135.7166667
17,2013,291,1,12,96,1,5,113,208,1,0,86,6,2,9,0,0,12,0,105,39,28,3,0,0,0,1,1,157,5,247,402,1,0,dunning,149.5166667
17,2014,296,3,22,84,1,4,65,134,0,0,107,3,1,6,0,0,9,0,94,47,20,1,0,0,1,0,6,155,7,205,297,1,0,dunning,159.95
17,2015,282,0,18,73,1,3,80,130,4,0,129,6,3,9,0,0,10,0,100,39,30,4,0,0,1,0,2,156,10,259,311,0,0,dunning,177.1166667
17,2016,279,1,18,40,0,2,76,197,3,0,141,12,6,6,1,0,6,0,129,56,53,4,0,0,1,1,1,143,8,243,328,0,0,dunning,183.65
17,2017,297,0,17,22,1,5,62,121,0,0,141,4,2,12,0,0,5,0,104,37,29,1,1,0,0,1,4,136,5,210,297,2,0,dunning,182.81666669999998
17,2018,305,0,14,19,0,1,70,141,1,0,120,9,4,7,0,0,5,0,115,34,22,0,0,0,0,1,2,138,11,189,292,0,0,dunning,186.56666669999998
19,2011,1086,3,71,549,70,32,588,723,1,0,183,34,14,80,0,1,62,0,382,133,290,3,0,0,3,1,23,450,27,863,1196,7,0,belmont cragin,61.90909091
19,2012,1128,8,58,512,76,40,492,463,0,0,205,39,25,56,0,0,41,0,389,118,204,5,0,0,5,1,17,439,23,805,1213,6,0,belmont cragin,59.4
19,2013,1023,5,65,402,34,37,388,459,0,0,235,25,14,49,0,0,47,0,320,82,163,6,0,0,2,0,17,435,31,698,1169,4,0,belmont cragin,94.66666667
19,2014,940,5,77,362,59,41,266,305,0,0,256,29,12,40,1,1,62,0,339,95,148,11,0,0,1,0,3,384,20,608,904,4,0,belmont cragin,89.68333333
19,2015,977,9,70,368,29,38,262,258,0,0,230,26,13,50,0,0,55,0,372,97,150,8,1,0,1,0,8,406,28,567,809,6,1,belmont cragin,120.03333329999998
19,2016,920,8,69,140,3,20,259,329,0,0,302,28,20,64,2,0,16,0,355,95,188,8,0,0,2,1,3,378,21,585,950,11,1,belmont cragin,127.91666670000001
19,2017,851,8,58,121,16,13,410,328,0,0,322,20,14,53,0,0,30,0,337,88,172,7,0,0,1,0,1,346,19,528,855,3,4,belmont cragin,133.4833333
19,2018,891,11,64,146,5,12,233,270,2,0,289,20,12,90,4,0,18,0,331,81,156,5,0,0,3,1,1,373,24,505,809,5,1,belmont cragin,152.6333333
20,2011,422,2,24,194,8,12,166,223,1,0,58,12,4,27,0,0,31,0,127,28,80,2,0,0,0,0,2,120,7,245,265,1,0,hermosa,79.73181818
20,2012,370,1,22,178,6,15,199,176,0,0,62,13,6,22,0,0,26,0,129,24,58,3,0,0,3,0,5,170,7,227,330,0,0,hermosa,96.98333333
20,2013,378,2,26,165,3,10,120,132,0,0,66,15,12,27,0,0,20,0,130,25,55,1,0,0,1,1,1,170,8,230,369,0,0,hermosa,108.325
